ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,timesteps
AAPL,2025-11-12,Hybrid,BUY,2,273.21,272.16,-0.3876,100000
AAPL,2025-11-12,Hybrid,BUY,3,273.21,267.21,-2.1977,100000
AAPL,2025-11-12,Hybrid,BUY,5,273.21,268.31,-1.7954,100000
AAPL,2025-11-12,Hybrid,BUY,10,273.21,277.29,1.4919,100000
AAPL,2025-11-12,Hybrid,BUY,21,273.21,278.02,1.7589,100000
AAPL,2025-11-12,RL,BUY,1,273.21,272.69,-0.1901,100000
AAPL,2025-11-12,RL,BUY,2,273.21,272.16,-0.3876,100000
AAPL,2025-11-12,RL,BUY,3,273.21,267.21,-2.1977,100000
AAPL,2025-11-12,RL,BUY,5,273.21,268.31,-1.7954,100000
AAPL,2025-11-12,RL,BUY,10,273.21,277.29,1.4919,100000
AAPL,2025-11-12,RL,BUY,21,273.21,278.02,1.7589,100000
AAPL,2025-11-13,Hybrid,BUY,1,272.69,272.16,-0.1978,100000
AAPL,2025-11-13,Hybrid,BUY,2,272.69,267.21,-2.0114,100000
AAPL,2025-11-13,Hybrid,BUY,3,272.69,267.19,-2.0187,100000
AAPL,2025-11-13,Hybrid,BUY,5,272.69,266.0,-2.4547,100000
AAPL,2025-11-13,Hybrid,BUY,10,272.69,278.59,2.1616,100000
AAPL,2025-11-13,Hybrid,BUY,21,272.69,273.85,0.425,100000
AAPL,2025-11-13,RL,BUY,1,272.69,272.16,-0.1978,100000
AAPL,2025-11-13,RL,BUY,2,272.69,267.21,-2.0114,100000
AAPL,2025-11-13,RL,BUY,3,272.69,267.19,-2.0187,100000
